rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
156,"spotify:track:1iRvhKiXRElIH2Uf4gd95P","Jesse & Joy","Dueles","WM Mexico",88,121,40,"246330"
157,"spotify:track:6sRQjwLPdzADXhgZeKy6PQ","Frankie Ruiz","Tú Con El","flyMusic Producciones",122,177,87,"245613"
158,"spotify:track:1mlGScrDQqHqmhdIqE8MmA","Morat, Juanes","Besos En Guerra","Universal Music Spain S.L.",29,191,308,"245601"
159,"spotify:track:1LiN0Z98FkR1t0m8KmLcAH","Anuel AA, Haze","Amanece","House of Haze",11,140,99,"245512"
160,"spotify:track:6d3q0F9VNtdxQUTVlRcet6","Canserbero","Querer Querernos","Fundacion El Canserbero",107,148,6,"244586"
161,"spotify:track:4waqcUQWdj0yH26STWl2Rq","La Oreja de Van Gogh","Rosas","Columbia",161,200,3,"243945"
162,"spotify:track:0PB0O24JqAuNdOAFVJljMS","Eladio Carrion, Bad Bunny","Coco Chanel","Rimas Entertainment LLC",4,152,47,"243821"
163,"spotify:track:4TFNKnMWjcMWzpkSwQrrcu","Feid, DJ Premier","Le Pido a DIOS","UMLE - Latino",14,169,59,"243224"
164,"spotify:track:6NSMQFKgjpQb0KkjMDYIK0","Arcángel, Bad Bunny, Mambo Kingz, DJ Luian","Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)","Hear This Music",79,-1,126,"240272"
165,"spotify:track:4skuEIloXWuxxgekKupkEH","Mon Laferte","Tu Falta De Querer","Universal Music Mexico",165,187,7,"240135"
166,"spotify:track:7DhYjNLksXZhbRQeheAums","Bacilos","Caraluna","WEA Latina",58,86,364,"240093"
167,"spotify:track:0bK3jxkbq5cDKWr68KtO8G","Manuel Medrano","Una y Otra Vez","WM Mexico",29,117,155,"239748"
168,"spotify:track:2J9B63FawlTaPdg4eH5X03","Beéle","Loco","Hear This Music",3,193,99,"239549"
169,"spotify:track:4wu7jIeJCUhQJaXsXVit0e","Blessd","Palabras Sobran","WEA Latina",23,139,38,"239117"
170,"spotify:track:2sTDlCxmuZCTDKKk9f1qus","Bad Bunny","WHERE SHE GOES","Rimas Entertainment LLC",1,179,38,"238100"
171,"spotify:track:0AAl3LtvIhEilWXZmYHeh5","Zion, Jory Boy, Ken-Y","More","Pina Records",90,174,47,"238051"
172,"spotify:track:1HWbpfmzt1YplLceHgirCv","Adolescent's Orquesta","Virgen","KORTA RECORDS",71,197,71,"237320"
173,"spotify:track:4UHRMwbbiZ7tkeEkhyN7iB","Adolescent's Orquesta","Persona Ideal - Me Tengo Que Ir","KORTA RECORDS",149,-1,15,"233926"
174,"spotify:track:0MT6qJd7wKlWjH7tP7oWHi","KAROL G","EL BARCO","UMLE - Latino",21,192,76,"233873"
175,"spotify:track:2in1gSZtv2lRbcZUmN9aAl","Fonseca","Te Mando Flores","Universal Music Colombia S.A.S.",92,188,303,"233703"
